vf_source_state,reg_date_time_period,age_bucket,Count,
KS,Pre-Parkland,40-49,3075,
KS,Pre-Parkland,50-64,3766,
KS,Pre-Parkland,65+,2206,
KS,Pre-Parkland,Unknown,21,
LA,Post-Parkland,18-29,10633,
LA,Post-Parkland,30-39,3943,
LA,Post-Parkland,40-49,2738,
LA,Post-Parkland,50-64,3399,
LA,Post-Parkland,65+,1676,
LA,Pre-Parkland,18-29,8570,
LA,Pre-Parkland,30-39,3640,
LA,Pre-Parkland,40-49,2675,
LA,Pre-Parkland,50-64,3285,
LA,Pre-Parkland,65+,1524,
MD,Post-Parkland,18-29,16680,
MD,Post-Parkland,30-39,6114,
MD,Post-Parkland,40-49,3815,
MD,Post-Parkland,50-64,4055,
MD,Post-Parkland,65+,2452,
MD,Post-Parkland,Unknown,10411,
MD,Pre-Parkland,18-29,12170,
MD,Pre-Parkland,30-39,6032,
MD,Pre-Parkland,40-49,3766,
MD,Pre-Parkland,50-64,3820,
MD,Pre-Parkland,65+,1991,
MD,Pre-Parkland,Unknown,6381,
ME,Post-Parkland,18-29,2285,
ME,Post-Parkland,30-39,504,
ME,Post-Parkland,40-49,429,
ME,Post-Parkland,50-64,803,
ME,Post-Parkland,65+,718,
ME,Post-Parkland,Unknown,10,
ME,Pre-Parkland,18-29,2301,
ME,Pre-Parkland,30-39,771,
ME,Pre-Parkland,40-49,477,
ME,Pre-Parkland,50-64,733,
ME,Pre-Parkland,65+,641,
ME,Pre-Parkland,Unknown,1,
MN,Post-Parkland,18-29,25414,
MN,Post-Parkland,30-39,16710,
MN,Post-Parkland,40-49,9070,
MN,Post-Parkland,50-64,10590,
MN,Post-Parkland,65+,9003,
MN,Pre-Parkland,18-29,23695,
MN,Pre-Parkland,30-39,19259,
MN,Pre-Parkland,40-49,10484,
MN,Pre-Parkland,50-64,12471,
MN,Pre-Parkland,65+,10000,
MT,Post-Parkland,18-29,4749,
MT,Post-Parkland,30-39,2145,
MT,Post-Parkland,40-49,1424,
MT,Post-Parkland,50-64,2020,
MT,Post-Parkland,65+,1348,
MT,Post-Parkland,Unknown,1,
MT,Pre-Parkland,18-29,3032,
MT,Pre-Parkland,30-39,1701,
MT,Pre-Parkland,40-49,1059,
MT,Pre-Parkland,50-64,1544,
MT,Pre-Parkland,65+,899,
NC,Post-Parkland,18-29,54289,
NC,Post-Parkland,30-39,21234,
NC,Post-Parkland,40-49,14943,
NC,Post-Parkland,50-64,20332,
NC,Post-Parkland,65+,12088,
NC,Pre-Parkland,18-29,37323,
NC,Pre-Parkland,30-39,17726,
NC,Pre-Parkland,40-49,12830,
NC,Pre-Parkland,50-64,17585,
NC,Pre-Parkland,65+,11048,
NE,Post-Parkland,18-29,6578,
NE,Post-Parkland,30-39,1862,
NE,Post-Parkland,40-49,987,
NE,Post-Parkland,50-64,1232,
NE,Post-Parkland,65+,850,
NE,Pre-Parkland,18-29,4998,
NE,Pre-Parkland,30-39,1876,
NE,Pre-Parkland,40-49,966,
NE,Pre-Parkland,50-64,1216,
NE,Pre-Parkland,65+,654,
NJ,Post-Parkland,18-29,25310,
NJ,Post-Parkland,30-39,12935,
NJ,Post-Parkland,40-49,8526,
NJ,Post-Parkland,50-64,9672,
NJ,Post-Parkland,65+,5223,
NJ,Post-Parkland,Unknown,4,
NJ,Pre-Parkland,18-29,23894,
NJ,Pre-Parkland,30-39,13221,
NJ,Pre-Parkland,40-49,8370,
NJ,Pre-Parkland,50-64,9568,
NJ,Pre-Parkland,65+,4945,
NJ,Pre-Parkland,Unknown,3,
NM,Post-Parkland,18-29,13332,
NM,Post-Parkland,30-39,7875,
NM,Post-Parkland,40-49,5862,
NM,Post-Parkland,50-64,9015,
NM,Post-Parkland,65+,8128,
NM,Post-Parkland,Unknown,1,
NM,Pre-Parkland,18-29,9916,
NM,Pre-Parkland,30-39,6381,
NM,Pre-Parkland,40-49,4948,
NM,Pre-Parkland,50-64,7426,
NM,Pre-Parkland,65+,6732,
NM,Pre-Parkland,Unknown,1,
NV,Post-Parkland,18-29,16426,
NV,Post-Parkland,30-39,7272,
NV,Post-Parkland,40-49,5222,
NV,Post-Parkland,50-64,7720,
NV,Post-Parkland,65+,5508,
NV,Post-Parkland,Unknown,22,
NV,Pre-Parkland,18-29,10222,
NV,Pre-Parkland,30-39,6130,
NV,Pre-Parkland,40-49,4428,
NV,Pre-Parkland,50-64,6423,
NV,Pre-Parkland,65+,4415,
NV,Pre-Parkland,Unknown,1,
NY,Post-Parkland,18-29,70149,
NY,Post-Parkland,30-39,19536,
NY,Post-Parkland,40-49,12038,
NY,Post-Parkland,50-64,14317,
NY,Post-Parkland,65+,7499,
NY,Post-Parkland,Unknown,77,
NY,Pre-Parkland,18-29,161671,
NY,Pre-Parkland,30-39,71969,
NY,Pre-Parkland,40-49,41986,
NY,Pre-Parkland,50-64,48673,
NY,Pre-Parkland,65+,26737,
NY,Pre-Parkland,Unknown,40,
OH,Post-Parkland,18-29,87122,
OH,Post-Parkland,30-39,40718,
OH,Post-Parkland,40-49,26738,
OH,Post-Parkland,50-64,33425,
OH,Post-Parkland,65+,21569,
OH,Post-Parkland,Unknown,27,
OH,Pre-Parkland,18-29,43259,
OH,Pre-Parkland,30-39,26395,
OH,Pre-Parkland,40-49,17738,
OH,Pre-Parkland,50-64,21796,
OH,Pre-Parkland,65+,12272,
OH,Pre-Parkland,Unknown,1,
OK,Post-Parkland,18-29,14363,
OK,Post-Parkland,30-39,6331,
OK,Post-Parkland,40-49,4247,
OK,Post-Parkland,50-64,5631,
OK,Post-Parkland,65+,3317,
